TYPE,cash_old,cash_new,trade,asset_old,asset_new,price_old,price_new
None,0,0,0.0,0.7135639575672108,0.7135639575672108,1396.670044,1403.4399410000001
None,0,0,0.0,0.7135639575672108,0.7135639575672108,1403.4399410000001,1399.540039
SELL,0,1002.1006687456288,1002.1006687456288,0.7135639575672108,0,1399.540039,1404.3599850000001
None,1002.1006687456288,1002.1006687456288,0.0,0,0,1404.3599850000001,1431.880005
BUY,1002.1006687456288,0,0.69900996478924948,0,0.00048759066440529119,1431.880005,1433.599976
SELL,0,998.01147722785095,998.01147722785095,0.69900996478924948,0,1433.599976,1427.75
None,998.01147722785095,998.01147722785095,0.0,0,0,1427.75,1439.219971
BUY,998.01147722785095,0,0.69543478170193751,0,0.00048459316013497756,1439.219971,1435.089966
None,0,0,0.0,0.69543478170193751,0.69543478170193751,1435.089966,1440.0200199999999
None,0,0,0.0,0.69543478170193751,0.69543478170193751,1440.0200199999999,1438.98999
SELL,0,1000.8836263534538,1000.8836263534538,0.69543478170193751,0,1438.98999,1439.219971
None,1000.8836263534538,1000.8836263534538,0.0,0,0,1439.219971,1462.2700199999999
BUY,1000.8836263534538,0,0.68350962995218123,0,0.00046677296134764126,1462.2700199999999,1464.329956
SELL,0,995.63431887407592,995.63431887407592,0.68350962995218123,0,1464.329956,1456.650024
None,995.63431887407592,995.63431887407592,0.0,0,0,1456.650024,1456.7700199999999
BUY,995.63431887407592,0,0.67469072683343301,0,0.00045720358192333368,1456.7700199999999,1475.6899410000001
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1475.6899410000001,1472.130005
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1472.130005,1457.910034
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1457.910034,1459.0600589999999
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1459.0600589999999,1484.400024
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1484.400024,1482.910034
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1482.910034,1477.1800539999999
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1477.1800539999999,1497.0200199999999
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1497.0200199999999,1499.1999510000001
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1499.1999510000001,1511.6999510000001
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1511.6999510000001,1511.23999
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1511.23999,1535.209961
None,0,0,0.0,0.67469072683343301,0.67469072683343301,1535.209961,1553.099976
